127.0.0.1 - - [16/Apr/2021:10:35:19 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:35:20 +0900] "GET /project/main.jsp HTTP/1.1" 200 9955
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:35:20 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:35:20 +0900] "GET /project/resources/css/landing-page.min.css HTTP/1.1" 200 1875
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:35:20 +0900] "GET /project/resources/js/jquery-3.6.0.js HTTP/1.1" 200 288580
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:35:20 +0900] "GET /project/resources/vendor/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 160392
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:35:20 +0900] "GET /project/resources/vendor/bootstrap/css/bootstrap.css HTTP/1.1" 200 198303
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:35:20 +0900] "GET /project/resources/css/landing-page.css HTTP/1.1" 200 2403
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:35:20 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css HTTP/1.1" 200 59344
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:35:20 +0900] "GET /project/vendor/jquery/jquery.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:35:20 +0900] "GET /project/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:35:20 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:35:20 +0900] "GET /project/resources/img/bg-main.jpg HTTP/1.1" 200 82536
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:35:20 +0900] "GET /project/vendor/jquery/jquery.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:35:20 +0900] "GET /project/vendor/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:35:20 +0900] "GET /project/resources/vendor/fontawesome-free/webfonts/fa-brands-400.woff2 HTTP/1.1" 200 78460
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:35:21 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:35:23 +0900] "GET /project/productSummary.jsp HTTP/1.1" 200 45312
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:35:23 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:35:23 +0900] "GET /project/resources/js/bootstrap-multiselect.js HTTP/1.1" 200 75615
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:35:23 +0900] "GET /project/resources/css/bootstrap-multiselect.css HTTP/1.1" 200 6105
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:35:24 +0900] "POST /project/getProduct HTTP/1.1" 200 39477
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:35:24 +0900] "GET /project/resources/rimg/001.jpg HTTP/1.1" 200 223777
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:35:29 +0900] "GET /project/productdetail.jsp?pnum=26 HTTP/1.1" 200 17741
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:35:29 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:35:30 +0900] "GET /project/productInfo?pnum=26 HTTP/1.1" 200 413
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:35:30 +0900] "GET /project/getFlocation HTTP/1.1" 200 4605
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:35:30 +0900] "GET /project/resources/rimg/002.jpg HTTP/1.1" 200 47125
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:35:30 +0900] "GET /project/resources/rimg/003.jpg HTTP/1.1" 200 72975
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:35:30 +0900] "GET /project/my_insert?pnum=26&userid=&liked=0 HTTP/1.1" 200 2
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:35:34 +0900] "GET /project/resources/vendor/fontawesome-free/css/all.min.css/vendor/simple-line-icons/css/simple-line-icons.css HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:35:34 +0900] "GET /project/resources/vendor/bootstrap/css/bootstrap.css.map HTTP/1.1" 200 508537
0:0:0:0:0:0:0:1 - - [16/Apr/2021:10:35:34 +0900] "GET /project/resources/vendor/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 646986
